Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Synthetic_medium_241013_185025_v4,gpu,19,4.126,0.822,0.237,0.219,0.0
Synthetic_medium_241013_185025_v5,spinnaker,9,2.567,0.956,0.251,0.226,0.0
Synthetic_medium_241013_185025_v5,gpu,19,4.228,0.826,0.24,0.225,0.0
Synthetic_medium_241013_185025_v6,spinnaker,10,2.479,0.87,0.235,0.21,0.0045
Synthetic_medium_241013_185025_v6,gpu,19,4.272,0.798,0.246,0.221,0.0
Synthetic_medium_241013_185025_v7,spinnaker,9,2.329,0.904,0.232,0.215,0.005
Synthetic_medium_241013_185025_v7,gpu,19,4.279,0.811,0.251,0.227,0.0
Synthetic_medium_241013_185025_v8,spinnaker,10,2.655,1.182,0.234,0.217,0.0095
Synthetic_medium_241013_185025_v8,gpu,19,4.315,0.842,0.246,0.227,0.0
Synthetic_medium_241013_185025_v9,spinnaker,9,2.836,1.29,0.244,0.223,0.02
Synthetic_medium_241013_185025_v9,gpu,19,4.277,0.793,0.258,0.228,0.0
Synthetic_medium_241013_185025_v10,spinnaker,9,2.209,0.732,0.258,0.21,0.0015
Synthetic_medium_241013_185025_v10,gpu,19,4.275,0.79,0.257,0.226,0.0
Synthetic_medium_241013_185907_v1,spinnaker,9,2.635,0.994,0.263,0.24,0.001
Synthetic_medium_241013_185907_v1,gpu,19,4.478,0.836,0.26,0.237,0.0
Synthetic_medium_241013_185907_v2,spinnaker,9,2.416,0.918,0.261,0.233,0.0015
Synthetic_medium_241013_185907_v2,gpu,19,4.28,0.825,0.259,0.23,0.0
Synthetic_medium_241013_185907_v3,spinnaker,9,2.517,0.888,0.251,0.231,0.0
Synthetic_medium_241013_185907_v3,gpu,19,4.527,0.805,0.274,0.235,0.0
Synthetic_medium_241013_185907_v4,spinnaker,9,2.608,0.937,0.256,0.235,0.008
Synthetic_medium_241013_185907_v4,gpu,19,4.301,0.807,0.253,0.225,0.0
