Recording,Pipeline,Latency,Error,MinError,MaxSpeed,MeanSpeed,DlydReps
Recording_mixed_241029_181312_v5,gpu,19,6.451,1.577,0.781,0.323,0.068
Recording_mixed_241029_181514_v1,spinnaker,9,3.715,1.989,0.567,0.273,0.0435
Recording_mixed_241029_181514_v1,gpu,18,5.046,1.245,0.561,0.271,0.0325
Recording_mixed_241029_181514_v2,spinnaker,10,4.274,2.434,0.563,0.271,0.0595
Recording_mixed_241029_181514_v2,gpu,18,4.953,1.176,0.565,0.271,0.019
Recording_mixed_241029_181514_v3,spinnaker,9,4.146,2.442,0.563,0.272,0.0455
Recording_mixed_241029_181514_v3,gpu,19,5.061,1.271,0.564,0.271,0.0195
Recording_mixed_241029_181514_v4,spinnaker,9,4.274,2.531,0.563,0.271,0.0435
Recording_mixed_241029_181514_v4,gpu,18,4.907,1.167,0.563,0.271,0.0205
Recording_mixed_241029_181514_v5,spinnaker,10,5.565,3.799,0.566,0.271,0.0875
Recording_mixed_241029_181514_v5,gpu,18,5.048,1.25,0.564,0.271,0.02
Recording_mixed_241029_181442_v1,spinnaker,10,2.912,1.666,0.343,0.192,0.13
Recording_mixed_241029_181442_v1,gpu,21,5.551,2.692,0.341,0.192,0.146
Recording_mixed_241029_181442_v2,spinnaker,10,4.113,2.914,0.342,0.192,0.162
Recording_mixed_241029_181442_v2,gpu,20,5.527,2.765,0.342,0.192,0.165
Recording_mixed_241029_181442_v3,spinnaker,10,3.031,1.739,0.342,0.192,0.1375
Recording_mixed_241029_181442_v3,gpu,21,5.474,2.63,0.342,0.192,0.147
Recording_mixed_241029_181442_v4,spinnaker,9,2.937,1.791,0.345,0.192,0.1375
Recording_mixed_241029_181442_v4,gpu,21,5.477,2.634,0.342,0.192,0.1545
Recording_mixed_241029_181442_v5,spinnaker,11,3.251,1.887,0.342,0.192,0.1345
Recording_mixed_241029_181442_v5,gpu,21,5.997,3.211,0.343,0.192,0.1905
Recording_mixed_241029_181232_v1,spinnaker,9,2.676,1.205,0.369,0.238,0.043
Recording_mixed_241029_181232_v1,gpu,19,4.748,1.25,0.371,0.238,0.0485
Recording_mixed_241029_181232_v2,spinnaker,9,2.819,1.256,0.37,0.238,0.0445
Recording_mixed_241029_181232_v2,gpu,20,4.935,1.378,0.369,0.238,0.089
Recording_mixed_241029_181232_v3,spinnaker,9,3.048,1.662,0.37,0.238,0.054
Recording_mixed_241029_181232_v3,gpu,19,4.949,1.413,0.368,0.238,0.082
Recording_mixed_241029_181232_v4,spinnaker,9,2.664,1.164,0.371,0.238,0.0455
Recording_mixed_241029_181232_v4,gpu,19,4.89,1.364,0.37,0.238,0.0735
Recording_mixed_241029_181232_v5,spinnaker,9,2.634,1.067,0.369,0.238,0.048
Recording_mixed_241029_181232_v5,gpu,19,4.876,1.353,0.369,0.238,0.083
Recording_mixed_241029_180609_v1,spinnaker,9,4.066,2.786,1.853,0.212,0.102
Recording_mixed_241029_180609_v1,gpu,19,6.598,3.653,1.954,0.212,0.151
Recording_mixed_241029_180609_v2,spinnaker,9,4.338,3.068,1.955,0.212,0.0975
Recording_mixed_241029_180609_v2,gpu,19,6.641,3.566,1.854,0.211,0.164
Recording_mixed_241029_180609_v3,spinnaker,9,4.087,2.738,1.853,0.211,0.096
Recording_mixed_241029_180609_v3,gpu,19,6.781,3.746,1.955,0.212,0.167
Recording_mixed_241029_180609_v4,spinnaker,9,4.307,3.052,1.955,0.212,0.109
Recording_mixed_241029_180609_v4,gpu,19,6.102,3.055,1.066,0.206,0.166
Recording_mixed_241029_180609_v5,spinnaker,9,4.101,2.79,1.853,0.211,0.102
Recording_mixed_241029_180609_v5,gpu,19,6.339,3.32,1.954,0.212,0.163
Recording_mixed_241029_181652_v1,spinnaker,9,3.636,2.361,0.73,0.213,0.153
Recording_mixed_241029_181652_v1,gpu,19,5.516,2.509,0.729,0.213,0.1325
Recording_mixed_241029_181652_v2,spinnaker,9,3.52,2.337,0.729,0.213,0.149
Recording_mixed_241029_181652_v2,gpu,19,5.802,2.796,0.73,0.213,0.1365
Recording_mixed_241029_181652_v3,spinnaker,9,4.147,2.935,0.728,0.214,0.1645
Recording_mixed_241029_181652_v3,gpu,19,5.503,2.485,0.729,0.213,0.1275
Recording_mixed_241029_181652_v4,spinnaker,9,3.563,2.325,0.729,0.214,0.1515
Recording_mixed_241029_181652_v4,gpu,19,5.533,2.511,0.727,0.213,0.129
Recording_mixed_241029_181652_v5,spinnaker,10,3.975,2.622,0.729,0.213,0.1515
Recording_mixed_241029_181652_v5,gpu,19,5.955,2.861,0.729,0.214,0.144
Recording_mixed_241029_180747_v1,spinnaker,13,5.463,4.146,1.111,0.201,0.261
Recording_mixed_241029_180747_v1,gpu,20,5.759,2.977,1.114,0.201,0.211
Recording_mixed_241029_180747_v2,spinnaker,11,4.837,3.619,1.111,0.201,0.2305
Recording_mixed_241029_180747_v2,gpu,21,6.137,3.269,1.115,0.201,0.2355
Recording_mixed_241029_180747_v3,spinnaker,11,4.687,3.544,1.111,0.201,0.232
Recording_mixed_241029_180747_v3,gpu,20,5.909,3.186,1.111,0.201,0.2285
Recording_mixed_241029_180747_v4,spinnaker,11,5.124,4.003,1.113,0.201,0.2275
Recording_mixed_241029_180747_v4,gpu,20,5.723,2.868,1.111,0.202,0.204
Recording_mixed_241029_180747_v5,spinnaker,11,4.892,3.708,1.115,0.201,0.261
Recording_mixed_241029_180747_v5,gpu,20,5.711,2.931,1.115,0.201,0.212
Recording_mixed_241029_181547_v1,spinnaker,9,2.501,1.233,0.452,0.22,0.096
Recording_mixed_241029_181547_v1,gpu,21,7.253,3.847,0.452,0.22,0.2065
Recording_mixed_241029_181547_v2,spinnaker,9,2.449,1.13,0.451,0.219,0.086
Recording_mixed_241029_181547_v2,gpu,21,6.273,2.953,0.452,0.22,0.166
Recording_mixed_241029_181547_v3,spinnaker,10,2.769,1.366,0.452,0.22,0.106
Recording_mixed_241029_181547_v3,gpu,21,7.498,4.431,0.452,0.22,0.181
Recording_mixed_241029_181547_v4,spinnaker,10,2.615,1.183,0.452,0.22,0.095
Recording_mixed_241029_181547_v4,gpu,21,7.138,3.983,0.451,0.22,0.2235
Recording_mixed_241029_181547_v5,spinnaker,10,3.072,1.758,0.451,0.22,0.11
Recording_mixed_241029_181547_v5,gpu,21,6.909,3.733,0.451,0.22,0.19
Recording_mixed_241029_180359_v1,spinnaker,9,2.315,1.01,0.393,0.222,0.0255
Recording_mixed_241029_180359_v1,gpu,18,4.118,0.991,0.395,0.223,0.029
Recording_mixed_241029_180359_v2,spinnaker,10,2.524,1.133,0.393,0.222,0.03
Recording_mixed_241029_180359_v2,gpu,19,4.224,0.987,0.395,0.222,0.029
Recording_mixed_241029_180359_v3,spinnaker,10,2.365,0.977,0.395,0.222,0.025
Recording_mixed_241029_180359_v3,gpu,19,4.217,0.996,0.395,0.222,0.029
Recording_mixed_241029_180359_v4,spinnaker,10,2.642,1.283,0.393,0.222,0.0475
Recording_mixed_241029_180359_v4,gpu,19,4.259,1.0,0.395,0.223,0.029
Recording_mixed_241029_180359_v5,spinnaker,9,2.325,1.023,0.393,0.222,0.025
Recording_mixed_241029_180359_v5,gpu,19,4.245,1.001,0.395,0.223,0.0295
Recording_mixed_241029_180351_v1,spinnaker,11,3.956,2.421,0.838,0.231,0.142
Recording_mixed_241029_180351_v1,gpu,21,5.247,1.754,0.863,0.231,0.1425
Recording_mixed_241029_180351_v2,spinnaker,11,3.611,2.128,0.861,0.231,0.14
Recording_mixed_241029_180351_v2,gpu,21,5.525,2.031,0.836,0.231,0.1425
Recording_mixed_241029_180351_v3,spinnaker,11,3.671,2.083,0.863,0.232,0.1425
Recording_mixed_241029_180351_v3,gpu,20,5.123,1.739,0.863,0.231,0.142
Recording_mixed_241029_180351_v4,spinnaker,11,4.409,2.841,0.863,0.231,0.1705
Recording_mixed_241029_180351_v4,gpu,21,5.579,2.05,0.863,0.231,0.162
Recording_mixed_241029_180351_v5,spinnaker,11,3.386,1.908,0.861,0.231,0.1365
